,src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,label,flowsimhashvalue,src2dst_bytes_data_ratio,dst2src_bytes_data_ratio
0,5353,5353,17,6,16869,135,16692,16869,135,16692,0,0,0,network,5991442610,1.0,0.0
1,49397,19302,17,4,10105,4,408,10056,2,124,10051,2,284,network,7176409137,0.30392156862745096,0.696078431372549
2,49389,43878,17,4,16596,68,11205,16340,35,6156,16556,33,5049,network,7073246386,0.5493975903614458,0.4506024096385542
3,49401,4160,17,4,7908,47,7826,7829,25,3975,7865,22,3851,network,6681479217,0.5079223102478917,0.49207768975210836
4,22765,443,6,4,17459,12,1382,17347,6,1058,17342,6,324,web,6400019251,0.7655571635311144,0.23444283646888567
5,49403,12556,17,4,7278,53,8874,7220,27,4593,7252,26,4281,network,6433802547,0.517579445571332,0.482420554428668
6,55554,4480,17,4,6894,18,2160,6813,10,1193,6834,8,967,network,7490390321,0.5523148148148148,0.4476851851851852
7,55558,4480,17,4,6893,18,2160,6812,10,1193,6839,8,967,network,6698108979,0.5523148148148148,0.4476851851851852
8,58562,19302,17,4,10136,4,408,10078,2,124,10079,2,284,network,7031698610,0.30392156862745096,0.696078431372549
9,58572,19302,17,4,10130,4,408,10078,2,124,10075,2,284,network,7040021682,0.30392156862745096,0.696078431372549
10,58564,59175,17,4,15661,68,11478,15590,34,6202,15628,34,5276,network,8452995504,0.5403380379857118,0.4596619620142882
11,58582,19302,17,4,10134,4,408,10076,2,124,10069,2,284,network,7040020658,0.30392156862745096,0.696078431372549
12,58574,11877,17,4,12989,64,10679,12989,32,5801,12933,32,4878,network,6144018481,0.5432156568967131,0.4567843431032868
13,49395,59096,17,4,12580,71,11888,12125,37,6770,12568,34,5118,network,8547979057,0.5694818304172274,0.43051816958277256
14,55552,19302,17,4,53,2,204,0,1,62,0,1,142,network,7176327735,0.30392156862745096,0.696078431372549
15,55562,19302,17,4,61,2,204,0,1,62,0,1,142,network,7167956529,0.30392156862745096,0.696078431372549
16,58592,19302,17,4,61,2,204,0,1,62,0,1,142,network,7312651186,0.30392156862745096,0.696078431372549
17,58602,19302,17,4,61,2,204,0,1,62,0,1,142,network,7314355122,0.30392156862745096,0.696078431372549
18,49377,19302,17,4,71,2,204,0,1,62,0,1,142,network,7448891703,0.30392156862745096,0.696078431372549
19,49387,19302,17,4,71,2,204,0,1,62,0,1,142,network,7176327223,0.30392156862745096,0.696078431372549
20,58598,4480,17,4,1668,43,6848,1626,23,3618,1619,20,3230,network,6809414064,0.5283294392523364,0.47167056074766356
21,58596,4480,17,4,1657,42,6739,1624,23,3616,1609,19,3123,network,6272395698,0.5365781273185932,0.4634218726814067
22,58606,49823,17,4,8655,55,9928,8452,28,5458,8608,27,4470,network,7243525297,0.5497582594681708,0.4502417405318292
23,58612,19302,17,4,60,2,204,0,1,62,0,1,142,network,7039627954,0.30392156862745096,0.696078431372549
24,58622,19302,17,4,60,2,204,0,1,62,0,1,142,network,7041856182,0.30392156862745096,0.696078431372549
25,58610,62404,17,4,8399,59,9713,8399,30,5186,8367,29,4527,network,6441879857,0.5339236075362915,0.4660763924637084
26,58614,42785,17,4,5081,52,8431,5081,26,4329,5016,26,4102,network,6408817457,0.5134622227493773,0.4865377772506227
27,58632,19302,17,4,62,2,204,0,1,62,0,1,142,network,7312389046,0.30392156862745096,0.696078431372549
28,58642,19302,17,4,62,2,204,0,1,62,0,1,142,network,7314617270,0.30392156862745096,0.696078431372549
29,58642,2775,17,4,7689,54,9436,7627,27,4995,7673,27,4441,network,6945720629,0.5293556591776176,0.4706443408223824
30,5904,443,6,4,56,2,121,0,1,55,0,1,66,web,6945501111,0.45454545454545453,0.5454545454545454
31,5923,443,6,4,17,2,121,0,1,55,0,1,66,web,6570228918,0.45454545454545453,0.5454545454545454
32,5921,443,6,4,47,2,121,0,1,55,0,1,66,web,7379827126,0.45454545454545453,0.5454545454545454
33,5933,443,6,4,44,2,121,0,1,55,0,1,66,web,6698155187,0.45454545454545453,0.5454545454545454
34,4557,10014,6,4,3002,7,731,2959,3,375,2958,4,356,web,7346286000,0.5129958960328317,0.48700410396716826
35,58652,19302,17,4,50,2,204,0,1,62,0,1,142,network,7040021174,0.30392156862745096,0.696078431372549
36,58662,19302,17,4,61,2,204,0,1,62,0,1,142,network,7042118322,0.30392156862745096,0.696078431372549
37,58660,49818,17,4,1293,40,7933,1242,20,4201,1265,20,3732,network,8411639216,0.5295600655489726,0.47043993445102733
38,58662,9784,17,4,1265,41,7885,1242,20,4367,1245,21,3518,network,6639539253,0.5538363982244768,0.44616360177552317
39,58658,11442,17,4,1745,28,3976,1745,28,3976,0,0,0,network,6032877744,1.0,0.0
40,51772,53,17,4,18,2,273,0,1,78,0,1,195,dns,6528167088,0.2857142857142857,0.7142857142857143
41,55562,12611,17,4,12413,198,28116,12413,198,28116,0,0,0,network,7448514865,1.0,0.0
42,8288,55568,17,4,8946,24,2822,8946,12,1417,8876,12,1405,network,6631150641,0.5021261516654855,0.49787384833451453
43,49387,3287,17,4,16302,36,4624,16247,18,2506,16264,18,2118,network,7356443568,0.541955017301038,0.45804498269896193
44,49395,19302,17,4,10115,4,408,10056,2,124,10061,2,284,network,7449022775,0.30392156862745096,0.696078431372549
45,49405,19302,17,4,10127,4,408,10073,2,124,10059,2,284,network,7448891703,0.30392156862745096,0.696078431372549
46,443,5942,6,4,0,1,54,0,1,54,0,0,0,web,7381810610,1.0,0.0
47,58555,53,17,4,21,2,264,0,1,74,0,1,190,dns,6903632183,0.2803030303030303,0.7196969696969697
48,34126,55566,17,4,8425,23,3037,8425,11,1279,8424,12,1758,network,7314764208,0.42113928218636815,0.5788607178136319
49,55552,4480,17,4,6854,18,2160,6780,10,1193,6826,8,967,network,7218284597,0.5523148148148148,0.4476851851851852
50,58560,19302,17,4,57,2,204,0,1,62,0,1,142,network,7167954993,0.30392156862745096,0.696078431372549
51,58570,19302,17,4,57,2,204,0,1,62,0,1,142,network,7042134192,0.30392156862745096,0.696078431372549
52,58556,24497,17,4,5913,55,9152,5835,27,4810,5880,28,4342,network,7168021561,0.5255681818181818,0.4744318181818182
53,58580,19302,17,4,65,2,204,0,1,62,0,1,142,network,7024832688,0.30392156862745096,0.696078431372549
54,58590,19302,17,4,10134,4,408,10076,2,124,10069,2,284,network,7312142768,0.30392156862745096,0.696078431372549
55,58586,18055,17,4,13644,218,30956,13644,218,30956,0,0,0,network,6912151863,1.0,0.0
56,58588,19867,17,4,13644,218,30956,13644,218,30956,0,0,0,network,7176327735,1.0,0.0
57,55560,19302,17,4,67,2,204,0,1,62,0,1,142,network,7167956017,0.30392156862745096,0.696078431372549
58,5955,80,6,4,200,16,4688,128,8,4008,141,8,680,web,7499308341,0.8549488054607508,0.14505119453924914
59,5911,443,6,4,7851,75,31843,7795,35,11899,7774,40,19944,web,8300415029,0.3736771032880068,0.6263228967119933
60,58600,19302,17,4,61,2,204,0,1,62,0,1,142,network,7042118322,0.30392156862745096,0.696078431372549
61,49375,19302,17,4,71,2,204,0,1,62,0,1,142,network,6912038197,0.30392156862745096,0.696078431372549
62,58610,19302,17,4,61,2,204,0,1,62,0,1,142,network,7040020658,0.30392156862745096,0.696078431372549
63,58620,19302,17,4,60,2,204,0,1,62,0,1,142,network,7025357492,0.30392156862745096,0.696078431372549
64,58620,19686,17,4,8689,53,9053,8689,27,4843,8653,26,4210,network,7041873072,0.53496078647962,0.46503921352037997
65,58630,19302,17,4,62,2,204,0,1,62,0,1,142,network,7023260340,0.30392156862745096,0.696078431372549
66,58640,19302,17,4,62,2,204,0,1,62,0,1,142,network,7042117814,0.30392156862745096,0.696078431372549
67,58638,53909,17,4,5807,54,8665,5754,27,4435,5750,27,4230,network,6272018864,0.5118291979226774,0.48817080207732255
68,58630,4480,17,4,5819,52,8004,5749,28,4242,5768,24,3762,network,6809414064,0.5299850074962519,0.4700149925037481
69,58632,4480,17,4,5810,51,7910,5749,27,4132,5759,24,3778,network,6800649650,0.5223767383059419,0.47762326169405817
70,5886,443,6,4,7591,13,2625,7532,5,449,7573,8,2176,web,6672723127,0.17104761904761906,0.828952380952381
71,5889,443,6,4,54,2,121,0,1,55,0,1,66,web,6844693938,0.45454545454545453,0.5454545454545454
72,5847,443,6,4,53,2,121,0,1,55,0,1,66,web,7448834999,0.45454545454545453,0.5454545454545454
73,1997,5228,6,4,59,2,121,0,1,55,0,1,66,unspecified,8547511219,0.45454545454545453,0.5454545454545454
74,58650,19302,17,4,53,2,204,0,1,62,0,1,142,network,7040021174,0.30392156862745096,0.696078431372549
75,58660,19302,17,4,61,2,204,0,1,62,0,1,142,network,7042134192,0.30392156862745096,0.696078431372549
76,58654,21012,17,4,1308,43,8131,1308,21,4473,1256,22,3658,network,7023260340,0.5501168367974419,0.4498831632025581
77,58646,4480,17,4,1279,39,6457,1279,20,3308,1246,19,3149,network,6945573171,0.5123122192968871,0.4876877807031129
78,5965,443,6,4,275,25,10880,275,11,3068,215,14,7812,web,7516184375,0.28198529411764706,0.7180147058823529
79,49379,27323,17,4,14367,228,32376,14367,228,32376,0,0,0,network,7312650678,1.0,0.0
80,49371,20891,17,4,9109,59,10306,8939,30,5673,9057,29,4633,network,7235061809,0.550456045022317,0.4495439549776829
81,8000,4028,17,4,15666,6,774,15666,6,774,0,0,0,unspecified,6383389489,1.0,0.0
82,49391,19302,17,4,10115,4,408,10056,2,124,10061,2,284,network,7449022771,0.30392156862745096,0.696078431372549
83,49401,19302,17,4,68,2,204,0,1,62,0,1,142,network,7449022771,0.30392156862745096,0.696078431372549
84,49405,18580,17,4,16546,68,10966,16289,34,5947,16537,34,5019,network,6631002163,0.5423126025898231,0.4576873974101769
85,5950,443,6,4,10011,32,9800,9902,16,3353,9962,16,6447,web,6945763253,0.34214285714285714,0.6578571428571428
86,443,22764,6,4,17409,11,2064,17409,6,1794,17254,5,270,web,6400084275,0.8691860465116279,0.1308139534883721
87,55556,4480,17,4,16018,32,4052,16018,16,2032,15987,16,2020,network,7431541041,0.5014807502467917,0.49851924975320827
88,5951,80,6,4,193,16,4688,135,8,4008,127,8,680,web,6962532149,0.8549488054607508,0.14505119453924914
89,49397,53561,17,4,14976,239,33938,14976,239,33938,0,0,0,network,8455613360,1.0,0.0
90,49399,17832,17,4,14961,238,33796,14961,238,33796,0,0,0,network,7176327735,1.0,0.0
91,58556,19302,17,4,55,2,204,0,1,62,0,1,142,network,7040021174,0.30392156862745096,0.696078431372549
92,58566,19302,17,4,10136,4,408,10078,2,124,10079,2,284,network,7040021174,0.30392156862745096,0.696078431372549
93,58570,23372,17,4,5869,52,8207,5792,26,4222,5816,26,3985,network,7306442168,0.5144388936273913,0.48556110637260874
94,1034,443,6,4,10260,6,600,10260,4,322,10102,2,278,web,7482634165,0.5366666666666666,0.4633333333333333
95,58576,19302,17,4,56,2,204,0,1,62,0,1,142,network,7042117814,0.30392156862745096,0.696078431372549
96,58586,19302,17,4,10116,4,408,10065,2,124,10061,2,284,network,7040021174,0.30392156862745096,0.696078431372549
97,58582,19578,17,4,11426,63,10464,11363,31,5665,11371,32,4799,network,7167954993,0.5413799694189603,0.45862003058103973
98,58576,30049,17,4,3777,49,8595,3700,25,4401,3745,24,4194,network,6912020791,0.512041884816754,0.48795811518324606
99,55556,19302,17,4,10168,4,408,10082,2,124,10101,2,284,network,7040021174,0.30392156862745096,0.696078431372549
100,55566,19302,17,4,67,2,204,0,1,62,0,1,142,network,7176410165,0.30392156862745096,0.696078431372549
101,5879,443,6,4,8347,173,171371,8347,31,18424,8291,142,152947,web,7243455031,0.10750943858645862,0.8924905614135413
102,58596,19302,17,4,61,2,204,0,1,62,0,1,142,network,7312650678,0.30392156862745096,0.696078431372549
103,58606,19302,17,4,61,2,204,0,1,62,0,1,142,network,7314617270,0.30392156862745096,0.696078431372549
104,49381,19302,17,4,51,2,204,0,1,62,0,1,142,network,7176409137,0.30392156862745096,0.696078431372549
105,58592,4480,17,4,7533,51,7863,7480,27,4136,7484,24,3727,network,6809266610,0.5260078850311586,0.4739921149688414
106,58594,4480,17,4,1657,43,6846,1624,23,3615,1628,20,3231,network,6272018864,0.528045574057844,0.47195442594215603
107,58616,19302,17,4,60,2,204,0,1,62,0,1,142,network,7039889590,0.30392156862745096,0.696078431372549
108,58626,19302,17,4,60,2,204,0,1,62,0,1,142,network,7042118326,0.30392156862745096,0.696078431372549
109,58636,19302,17,4,62,2,204,0,1,62,0,1,142,network,7312651190,0.30392156862745096,0.696078431372549
110,5888,443,6,4,78,2,121,0,1,55,0,1,66,web,6698155187,0.45454545454545453,0.5454545454545454
111,58640,18195,17,4,7172,115,16330,7172,115,16330,0,0,0,network,7440634679,1.0,0.0
112,5892,443,6,4,40,2,121,0,1,55,0,1,66,web,6945345335,0.45454545454545453,0.5454545454545454
113,5929,443,6,4,50,2,121,0,1,55,0,1,66,web,7314683318,0.45454545454545453,0.5454545454545454
114,5916,443,6,4,43,2,121,0,1,55,0,1,66,web,6912020791,0.45454545454545453,0.5454545454545454
115,58646,19302,17,4,51,2,204,0,1,62,0,1,142,network,7314616758,0.30392156862745096,0.696078431372549
116,58656,19302,17,4,61,2,204,0,1,62,0,1,142,network,7040021174,0.30392156862745096,0.696078431372549
117,5961,80,6,4,175,15,4634,121,8,4008,116,7,626,web,6962532149,0.8649115235217955,0.13508847647820457
118,27614,443,6,4,180,3,396,180,2,241,0,1,155,web,7235061809,0.6085858585858586,0.39141414141414144
119,27615,8080,6,4,92,4,343,92,2,161,7,2,182,web,6528150706,0.46938775510204084,0.5306122448979592
120,49375,59414,17,4,14367,229,32518,14367,229,32518,0,0,0,network,8308873265,1.0,0.0
121,49381,7085,17,4,14367,229,32518,14367,229,32518,0,0,0,network,6664473653,1.0,0.0
122,443,5910,6,4,17337,746,302521,17297,274,136055,17337,472,166466,web,7516159411,0.44973737360381594,0.5502626263961841
123,49385,38624,17,4,9151,27,3209,9068,14,1654,8580,13,1555,web,7168021561,0.5154253661576815,0.48457463384231847
124,5353,5353,17,4,16869,135,13992,16869,135,13992,0,0,0,network,5991442610,1.0,0.0
125,49389,19302,17,4,10110,4,408,10056,2,124,10056,2,284,network,7176409137,0.30392156862745096,0.696078431372549
126,49399,19302,17,4,10127,4,408,10073,2,124,10059,2,284,network,7167938611,0.30392156862745096,0.696078431372549
127,55560,40166,17,4,14964,238,33796,14964,238,33796,0,0,0,network,6519713460,1.0,0.0
128,58564,19302,17,4,10136,4,408,10078,2,124,10079,2,284,network,7031715508,0.30392156862745096,0.696078431372549
129,58574,19302,17,4,10135,4,408,10077,2,124,10069,2,284,network,7040038580,0.30392156862745096,0.696078431372549
130,58584,19302,17,4,10134,4,408,10076,2,124,10069,2,284,network,7023260340,0.30392156862745096,0.696078431372549
131,58590,59361,17,4,11680,71,11520,11405,36,6273,11635,35,5247,network,6160869553,0.54453125,0.45546875
132,55554,19302,17,4,67,2,204,0,1,62,0,1,142,network,7176345141,0.30392156862745096,0.696078431372549
133,55564,19302,17,4,67,2,204,0,1,62,0,1,142,network,7176345141,0.30392156862745096,0.696078431372549
134,58594,19302,17,4,61,2,204,0,1,62,0,1,142,network,7040037556,0.30392156862745096,0.696078431372549
135,58604,19302,17,4,61,2,204,0,1,62,0,1,142,network,7041856182,0.30392156862745096,0.696078431372549
136,49379,19302,17,4,71,2,204,0,1,62,0,1,142,network,7448909113,0.30392156862745096,0.696078431372549
137,58608,27435,17,4,8641,56,9698,8641,28,5307,8625,28,4391,network,7168021561,0.5472262322128274,0.4527737677871726
138,58614,19302,17,4,60,2,204,0,1,62,0,1,142,network,7039760054,0.30392156862745096,0.696078431372549
139,58624,19302,17,4,60,2,204,0,1,62,0,1,142,network,7025096372,0.30392156862745096,0.696078431372549
140,58626,21026,17,4,693,42,7509,639,21,3849,656,21,3660,network,7297331632,0.5125848981222533,0.4874151018777467
