,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label,flowsimhashvalue
0,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,55562,124.88.101.196,2c:b2:1a:55:86:07,2c:b2:1a,12611,17,4,0,0,1.68E+12,1.68E+12,12413,198,28116,1.68E+12,1.68E+12,12413,198,28116,0,0,0,0,0,STUN,Network,0,6,,,,,,network,7448514865
1,0,111.85.58.207,2c:b2:1a:55:86:07,2c:b2:1a,8288,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,55568,17,4,0,0,1.68E+12,1.68E+12,8946,24,2822,1.68E+12,1.68E+12,8946,12,1417,1.68E+12,1.68E+12,8876,12,1405,STUN,Network,0,6,,,,,,network,6631150641
2,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,49387,111.197.255.24,2c:b2:1a:55:86:07,2c:b2:1a,3287,17,4,0,0,1.68E+12,1.68E+12,16302,36,4624,1.68E+12,1.68E+12,16247,18,2506,1.68E+12,1.68E+12,16264,18,2118,STUN,Network,0,6,,,,,,network,7356443568
3,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,49395,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,10115,4,408,1.68E+12,1.68E+12,10056,2,124,1.68E+12,1.68E+12,10061,2,284,STUN,Network,1,3,,,,,,network,7449022775
4,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,49405,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,10127,4,408,1.68E+12,1.68E+12,10073,2,124,1.68E+12,1.68E+12,10059,2,284,STUN,Network,1,3,,,,,,network,7448891703
5,0,119.0.102.252,2c:b2:1a:55:86:07,2c:b2:1a,443,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,5942,6,4,0,0,1.68E+12,1.68E+12,0,1,54,1.68E+12,1.68E+12,0,1,54,0,0,0,0,0,TLS,Web,1,1,,,,,,web,7381810610
6,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58555,192.168.2.1,2c:b2:1a:55:86:07,2c:b2:1a,53,17,4,0,0,1.68E+12,1.68E+12,21,2,264,1.68E+12,1.68E+12,0,1,74,1.68E+12,1.68E+12,0,1,190,DNS.Alibaba,Network,0,6,yt1.mmstat.com,,,,,dns,6903632183
7,0,123.119.185.213,2c:b2:1a:55:86:07,2c:b2:1a,34126,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,55566,17,4,0,0,1.68E+12,1.68E+12,8425,23,3037,1.68E+12,1.68E+12,8425,11,1279,1.68E+12,1.68E+12,8424,12,1758,STUN,Network,0,6,,,,,,network,7314764208
8,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,55552,110.72.96.56,2c:b2:1a:55:86:07,2c:b2:1a,4480,17,4,0,0,1.68E+12,1.68E+12,6854,18,2160,1.68E+12,1.68E+12,6780,10,1193,1.68E+12,1.68E+12,6826,8,967,STUN,Network,0,6,,,,,,network,7218284597
9,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58560,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,57,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7167954993
10,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58570,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,57,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7042134192
11,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58556,123.113.80.22,2c:b2:1a:55:86:07,2c:b2:1a,24497,17,4,0,0,1.68E+12,1.68E+12,5913,55,9152,1.68E+12,1.68E+12,5835,27,4810,1.68E+12,1.68E+12,5880,28,4342,STUN,Network,0,6,,,,,,network,7168021561
12,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58580,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,65,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7024832688
13,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58590,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,10134,4,408,1.68E+12,1.68E+12,10076,2,124,1.68E+12,1.68E+12,10069,2,284,STUN,Network,1,3,,,,,,network,7312142768
14,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58586,202.99.113.252,2c:b2:1a:55:86:07,2c:b2:1a,18055,17,4,0,0,1.68E+12,1.68E+12,13644,218,30956,1.68E+12,1.68E+12,13644,218,30956,0,0,0,0,0,STUN,Network,0,6,,,,,,network,6912151863
15,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58588,221.10.43.198,2c:b2:1a:55:86:07,2c:b2:1a,19867,17,4,0,0,1.68E+12,1.68E+12,13644,218,30956,1.68E+12,1.68E+12,13644,218,30956,0,0,0,0,0,STUN,Network,0,6,,,,,,network,7176327735
16,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,55560,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,67,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7167956017
17,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,5955,106.8.151.228,2c:b2:1a:55:86:07,2c:b2:1a,80,6,4,0,0,1.68E+12,1.68E+12,200,16,4688,1.68E+12,1.68E+12,128,8,4008,1.68E+12,1.68E+12,141,8,680,HTTP.Alibaba,Web,0,6,static-pcs-sdk-server.alibaba.com,,,WinHttpClient,application/json,web,7499308341
18,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,5911,47.92.40.19,2c:b2:1a:55:86:07,2c:b2:1a,443,6,4,0,0,1.68E+12,1.68E+12,7851,75,31843,1.68E+12,1.68E+12,7795,35,11899,1.68E+12,1.68E+12,7774,40,19944,TLS,Web,0,6,,,,,,web,8300415029
19,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58600,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,61,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7042118322
20,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,49375,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,71,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,6912038197
21,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58610,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,61,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7040020658
22,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58620,125.39.9.36,2c:b2:1a:55:86:07,2c:b2:1a,19302,17,4,0,0,1.68E+12,1.68E+12,60,2,204,1.68E+12,1.68E+12,0,1,62,1.68E+12,1.68E+12,0,1,142,STUN,Network,1,3,,,,,,network,7025357492
23,0,192.168.2.115,20:1e:88:5e:a0:9c,20:1e:88,58620,112.64.62.233,2c:b2:1a:55:86:07,2c:b2:1a,19686,17,4,0,0,1.68E+12,1.68E+12,8689,53,9053,1.68E+12,1.68E+12,8689,27,4843,1.68E+12,1.68E+12,8653,26,4210,STUN,Network,0,6,,,,,,network,7041873072
