id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.label,udps.flowsimhashvalue
0,0,"fe80::8fcd:a04c:ec94:e2bf","20:1e:88:5e:a0:9c","20:1e:88",5353,"ff02::fb","33:33:00:00:00:fb","33:33:00",5353,17,6,0,0,1678200177980,1678200194849,16869,135,16692,1678200177980,1678200194849,16869,135,16692,0,0,0,0,0,"MDNS","Network",0,6,"dadb9d64-09ba-45be-af86-ed5e38a78138.local","","","","","Network","5991442610"
1,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49397,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200178995,1678200189100,10105,4,408,1678200178995,1678200189051,10056,2,124,1678200179049,1678200189100,10051,2,284,"STUN","Network",1,3,"","","","","","Unspecified","7176409137"
2,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49389,"114.244.127.81","2c:b2:1a:55:86:07","2c:b2:1a",43878,17,4,0,0,1678200179075,1678200195671,16596,68,11205,1678200179075,1678200195415,16340,35,6156,1678200179115,1678200195671,16556,33,5049,"STUN","Network",0,6,"","","","","","Unspecified","7073246386"
3,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49401,"117.12.37.56","2c:b2:1a:55:86:07","2c:b2:1a",4160,17,4,0,0,1678200179084,1678200186992,7908,47,7826,1678200179084,1678200186913,7829,25,3975,1678200179127,1678200186992,7865,22,3851,"STUN","Network",0,6,"","","","","","Unspecified","6681479217"
4,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",22765,"218.194.224.231","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200179247,1678200196706,17459,12,1382,1678200179247,1678200196594,17347,6,1058,1678200179364,1678200196706,17342,6,324,"TLS","Web",1,1,"","","","","","web","6400019251"
5,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49403,"58.16.143.178","2c:b2:1a:55:86:07","2c:b2:1a",12556,17,4,0,0,1678200179693,1678200186971,7278,53,8874,1678200179693,1678200186913,7220,27,4593,1678200179719,1678200186971,7252,26,4281,"STUN","Network",0,6,"","","","","","Unspecified","6433802547"
6,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55554,"27.195.126.66","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200180098,1678200186992,6894,18,2160,1678200180098,1678200186911,6813,10,1193,1678200180158,1678200186992,6834,8,967,"STUN","Network",0,6,"","","","","","Unspecified","7490390321"
7,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55558,"27.195.126.67","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200180099,1678200186992,6893,18,2160,1678200180099,1678200186911,6812,10,1193,1678200180153,1678200186992,6839,8,967,"STUN","Network",0,6,"","","","","","Unspecified","6698108979"
8,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58562,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200180996,1678200191132,10136,4,408,1678200180996,1678200191074,10078,2,124,1678200181053,1678200191132,10079,2,284,"STUN","Network",1,3,"","","","","","Unspecified","7031698610"
9,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58572,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200180996,1678200191126,10130,4,408,1678200180996,1678200191074,10078,2,124,1678200181051,1678200191126,10075,2,284,"STUN","Network",1,3,"","","","","","Unspecified","7040021682"
